iter	RMSE
0	3644.214926
1	3334.821444
2	3050.498493
3	2804.865405
4	2574.453557
5	2369.833359
6	2190.172887
7	2027.651724
8	1886.15023
9	1764.366003
10	1649.767916
11	1553.741766
12	1467.439534
13	1386.21833
14	1315.010642
15	1249.363349
16	1192.151774
17	1142.285382
18	1092.608824
19	1050.240041
20	1010.796436
21	976.3904503
22	947.11568
23	918.8002298
24	893.9672563
25	870.9280789
26	853.6043469
27	834.8348514
28	821.0553424
29	803.6695484
30	790.2661866
31	780.1272504
32	767.8180032
33	756.5908975
34	747.9706548
35	738.6237677
36	728.7307025
37	721.9012813
38	714.8195627
39	709.3749506
40	703.8763391
41	699.4041587
42	693.0941291
43	689.1922081
44	685.3695475
45	681.1462783
46	675.8715287
47	671.5668375
48	667.0094336
49	662.6448595
50	659.8917492
51	656.3943322
52	653.4959809
53	651.3408921
54	648.0898211
55	646.1764395
56	643.453071
57	641.5750713
58	638.8607954
59	635.2907753
60	631.8981198
61	630.1415516
62	626.9162001
63	625.3796627
64	623.7155548
65	622.7157355
66	620.0533817
67	617.4341216
68	615.7699895
69	613.8428776
70	612.5299213
71	610.8172152
72	608.0822348
73	604.3044497
74	602.9515463
75	601.9850644
76	598.8329301
77	596.552177
78	595.1460728
79	593.8275391
80	592.0458144
81	589.878615
82	588.482803
83	587.5482706
84	586.3322179
85	585.0544839
86	584.1747468
87	583.3614178
88	582.4984615
89	581.4796188
90	579.9601682
91	579.3174455
92	578.5589812
93	576.6994906
94	575.8645074
95	574.5672373
96	573.8228488
97	573.000072
98	572.2466209
99	571.5940794
