iter	Passed	Remaining
0	591	58598
1	616	30185
2	633	20486
3	649	15598
4	669	12720
5	685	10746
6	702	9336
7	721	8302
8	743	7518
9	760	6846
10	806	6528
11	824	6045
12	840	5628
13	856	5262
14	876	4969
15	892	4687
16	910	4443
17	927	4224
18	944	4026
19	960	3842
20	977	3678
21	994	3525
22	1010	3384
23	1028	3255
24	1049	3148
25	1067	3038
26	1083	2929
27	1100	2830
28	1116	2732
29	1134	2646
30	1152	2564
31	1168	2482
32	1184	2404
33	1200	2330
34	1216	2259
35	1232	2191
36	1248	2126
37	1263	2061
38	1279	2000
39	1294	1941
40	1311	1886
41	1327	1833
42	1345	1782
43	1361	1732
44	1378	1684
45	1401	1645
46	1421	1602
47	1443	1563
48	1467	1527
49	1490	1490
50	1511	1452
51	1531	1413
52	1553	1377
53	1579	1345
54	1611	1318
55	1626	1277
56	1641	1238
57	1657	1200
58	1673	1163
59	1689	1126
60	1706	1091
61	1722	1055
62	1739	1021
63	1754	986
64	1769	953
65	1787	920
66	1804	888
67	1820	856
68	1836	825
69	1867	800
70	1886	770
71	1902	739
72	1918	709
73	1941	682
74	1963	654
75	1980	625
76	1997	596
77	2013	568
78	2030	539
79	2045	511
80	2063	484
81	2083	457
82	2100	430
83	2116	403
84	2131	376
85	2148	349
86	2165	323
87	2180	297
88	2196	271
89	2214	246
90	2231	220
91	2246	195
92	2261	170
93	2276	145
94	2292	120
95	2311	96
96	2340	72
97	2364	48
98	2382	24
99	2399	0
